Date,Event,,,,,
10-02-2022,RBI,,,,,
09-03-2022,UP Election,,,,,
10-03-2022,UP Election,,,,,
08-04-2022,RBI,,,,,
16-04-2022,HDFC Event,,,,,
08-06-2022,RBI,,,,,
16-07-2022,HDFC Event,,,,,
05-08-2022,RBI,,,,,
30-09-2022,RBI,,,,,
15-10-2022,HDFC Event,,,,,
03-11-2022,RBI,,,,,
07-12-2022,RBI,,,,,
08-12-2022,Gujarat,,,,,
14-01-2023,HDFC Event,,,,,
01-02-2023,Budget,,,,,
08-02-2023,RBI,,,,,
06-04-2023,RBI,,,,,
15-04-2023,HDFC Event,,,,,
08-06-2023,RBI,,,,,
17-07-2023,HDFC Event,,,,,
10-08-2023,RBI,,,,,
06-10-2023,RBI,,,,,
16-10-2023,HDFC Event,,,,,
12-11-2023,Diwali,,,,,
01-12-2023,Rajasthan Election,,,,,
07-12-2023,Due to Riots,,,,,
08-12-2023,RBI,,,,,
16-01-2024,HDFC Event,,,,,
01-02-2024,Budget,,,,,
08-02-2024,RBI,,,,,
05-04-2024,RBI,,,,,
04-06-2024,Election,,,,,
07-06-2024,RBI,,,,,
23-07-2024,Budget,,,,,
08-08-2024,RBI,,,,,
08-10-2024,Haryana & JK Result,,,,,
09-10-2024,RBI,,,,,
06-11-2024,US Election,,,,,
20-11-2024,Special Holiday,,,,,
06-12-2024,RBI,,,,,
01-02-2025,Budget,,,,,
07-02-2025,RBI,,,,,
09-04-2025,RBI,,,,,
06-06-2025,RBI,,,,,
06-08-2025,RBI,,,,,
